external_player_id,cpf,name,birth_date,declared_income_monthly,pep_flag,status,profession,nationality,registration_date,self_exclusion_flag,email,phone,deposit_limit_daily
PLY-NORM-001,41246013015,Larissa Pereira,1976-11-24,3500.00,false,ACTIVE,Professor,BR,2025-05-29T12:00:00Z,false,ply.norm.001@fictibet.test,5511979254563,
PLY-NORM-002,36172221786,Larissa Ribeiro,1971-09-07,2500.00,false,ACTIVE,Médico,BR,2025-04-06T12:00:00Z,false,ply.norm.002@fictibet.test,5511973140807,
PLY-NORM-003,46890615212,Lucas Costa,1997-06-09,12000.00,false,ACTIVE,Motorista,BR,2025-12-15T12:00:00Z,false,ply.norm.003@fictibet.test,5511945176955,
PLY-NORM-004,57660033943,Marcos Barbosa,1986-01-24,10000.00,false,ACTIVE,Administrador,BR,2025-07-12T12:00:00Z,false,ply.norm.004@fictibet.test,5511916753883,
PLY-NORM-005,99461611826,Diego Monteiro,1982-12-03,7000.00,false,ACTIVE,Advogado,BR,2026-02-09T12:00:00Z,false,ply.norm.005@fictibet.test,5511930587988,
PLY-NORM-006,43738332710,Bruno Carvalho,1987-08-21,3500.00,false,ACTIVE,Vendedor,BR,2025-08-30T12:00:00Z,false,ply.norm.006@fictibet.test,5511949684848,
PLY-NORM-007,98835160792,Rafael Barbosa,1980-09-24,7000.00,false,ACTIVE,Vendedor,BR,2025-10-30T12:00:00Z,false,ply.norm.007@fictibet.test,5511962043515,
PLY-NORM-008,55890068783,Pedro Almeida,1972-06-13,5500.00,false,ACTIVE,Professor,BR,2025-10-18T12:00:00Z,false,ply.norm.008@fictibet.test,5511928317637,
PLY-NORM-009,96812569967,Daniel Carvalho,1999-03-09,8500.00,false,ACTIVE,Motorista,BR,2025-12-23T12:00:00Z,false,ply.norm.009@fictibet.test,5511999990728,
PLY-NORM-010,90517811206,Leonardo Monteiro,1995-06-08,7000.00,false,ACTIVE,Administrador,BR,2025-12-24T12:00:00Z,false,ply.norm.010@fictibet.test,5511966238574,
PLY-NORM-011,96555794399,Ana Gomes,1974-07-13,3500.00,false,ACTIVE,Designer,BR,2025-05-03T12:00:00Z,false,ply.norm.011@fictibet.test,5511971016525,
PLY-NORM-012,86814581501,Carolina Araújo,1977-05-14,2500.00,false,ACTIVE,Designer,BR,2025-12-14T12:00:00Z,false,ply.norm.012@fictibet.test,5511900435578,
PLY-NORM-013,82893704331,Juliana Ribeiro,1976-11-10,7000.00,false,ACTIVE,Administrador,BR,2025-04-11T12:00:00Z,false,ply.norm.013@fictibet.test,5511981734598,
PLY-NORM-014,34749795425,João Silva,1990-08-01,8500.00,false,ACTIVE,Jornalista,BR,2026-01-06T12:00:00Z,false,ply.norm.014@fictibet.test,5511948718453,
PLY-NORM-015,40313557786,Matheus Oliveira,2001-02-25,5500.00,false,ACTIVE,Dentista,BR,2025-06-05T12:00:00Z,false,ply.norm.015@fictibet.test,5511916879290,
PLY-NORM-016,87081128140,Ana Nascimento,2003-10-14,12000.00,false,ACTIVE,Jornalista,BR,2025-11-16T12:00:00Z,false,ply.norm.016@fictibet.test,5511972383095,
PLY-NORM-017,51716798182,Roberto Fernandes,1998-09-15,5500.00,false,ACTIVE,Motorista,BR,2026-01-02T12:00:00Z,false,ply.norm.017@fictibet.test,5511930158366,
PLY-NORM-018,85541210722,Larissa Monteiro,1984-01-03,2500.00,false,ACTIVE,Analista de Sistemas,BR,2025-04-15T12:00:00Z,false,ply.norm.018@fictibet.test,5511930728046,
PLY-NORM-019,79023806739,Beatriz Nascimento,2001-04-18,8500.00,false,ACTIVE,Médico,BR,2025-12-27T12:00:00Z,false,ply.norm.019@fictibet.test,5511976644106,
PLY-NORM-020,77794424223,Ricardo Rodrigues,1976-02-22,5500.00,false,ACTIVE,Técnico,BR,2025-07-27T12:00:00Z,false,ply.norm.020@fictibet.test,5511956851760,
PLY-NORM-021,98791424611,Bruno Santos,1995-12-11,2500.00,false,ACTIVE,Motorista,BR,2026-01-08T12:00:00Z,false,ply.norm.021@fictibet.test,5511925714784,
PLY-NORM-022,66436653236,Juliana Nascimento,1999-04-28,12000.00,false,ACTIVE,Designer,BR,2026-01-25T12:00:00Z,false,ply.norm.022@fictibet.test,5511973863413,
